Checking account,Housing,Job,Purpose,Risk,Saving accounts,Sex,Credit_Duration_Ratio,Age_Group
moderate,own,2,business,good,rich,male,106.27777777777777,Adults
little,own,2,furniture/equipment,good,little,male,167.5,Young
moderate,own,2,car,good,moderate,male,325.8888888888889,Adults
No checking,rent,1,business,good,No savings,male,105.33333333333333,Mature-Seniors
rich,own,3,furniture/equipment,good,little,female,122.83333333333333,Adults
moderate,own,1,radio/TV,bad,little,male,105.46666666666667,Young
No checking,free,2,education,good,little,male,127.29166666666667,Adults
rich,own,2,radio/TV,bad,little,male,116.66666666666667,Adults
rich,own,2,domestic appliances,good,little,male,122.5,Adults
moderate,own,2,radio/TV,good,little,male,50.888888888888886,Young
No checking,own,3,radio/TV,good,quite rich,male,77.76666666666667,Adults
moderate,own,2,radio/TV,good,quite rich,male,96.5,Young
moderate,own,1,repairs,good,little,male,344.6666666666667,Mature-Seniors
little,rent,2,car,good,moderate,male,206.23333333333332,Young
little,free,1,car,bad,little,female,127.97916666666667,Mature-Seniors
No checking,own,3,car,good,little,female,126.63636363636364,Adults
No checking,own,2,radio/TV,good,quite rich,male,63.861111111111114,Adults
little,rent,0,car,good,quite rich,female,225.33333333333334,Young
No checking,own,1,car,good,little,male,657.0909090909091,Adults
No checking,own,2,radio/TV,good,moderate,female,172.75,Young
moderate,own,1,furniture/equipment,good,No savings,male,97.20833333333333,Young
moderate,own,3,car,good,little,male,220.92592592592592,Adults
No checking,own,2,radio/TV,good,little,male,105.16666666666667,Young
No checking,own,2,car,good,No savings,male,187.66666666666666,Adults
moderate,free,2,car,bad,little,male,61.80555555555556,Mature-Seniors
No checking,own,1,car,good,No savings,male,130.5,Young
moderate,own,3,radio/TV,bad,No savings,male,539.0,Mature-Seniors
No checking,own,2,radio/TV,good,little,female,265.72222222222223,Adults
rich,own,3,car,good,little,female,108.94444444444444,Young
little,rent,1,furniture/equipment,bad,little,female,173.02777777777777,Young
moderate,own,2,business,good,little,male,154.55555555555554,Young
moderate,own,2,radio/TV,good,No savings,male,102.46666666666667,Mature-Seniors
moderate,free,3,business,bad,little,male,54.25,Mature-Seniors
moderate,own,2,business,bad,little,male,300.4375,Young
No checking,own,2,radio/TV,good,little,female,132.54166666666666,Young
No checking,own,2,repairs,good,No savings,male,192.22222222222223,Mature-Seniors
No checking,own,2,radio/TV,good,little,female,180.91666666666666,Young
moderate,own,2,car,good,rich,male,83.91666666666667,Young
No checking,free,2,education,bad,little,male,50.52777777777778,Adults
No checking,own,2,radio/TV,good,No savings,female,66.5,Young
No checking,own,2,car,good,little,female,225.91666666666666,Adults
No checking,rent,1,radio/TV,good,No savings,male,104.28571428571429,Mature-Seniors
little,free,3,vacation/others,good,little,male,145.5,Mature-Seniors
moderate,own,1,business,good,little,female,141.76190476190476,Mature-Seniors
little,own,3,education,bad,No savings,male,54.916666666666664,Mature-Seniors
little,free,3,car,good,little,male,127.16666666666667,Mature-Seniors
little,own,2,radio/TV,bad,little,male,94.4047619047619,Adults
moderate,own,2,radio/TV,good,little,male,433.72727272727275,Mature-Seniors
No checking,own,1,car,good,No savings,male,174.74074074074073,Adults
moderate,own,2,furniture/equipment,good,little,male,127.73333333333333,Young
No checking,own,2,radio/TV,bad,No savings,female,247.625,Mature-Seniors
No checking,own,2,radio/TV,good,quite rich,male,80.86666666666666,Mature-Seniors
No checking,rent,1,business,good,moderate,female,87.11111111111111,Young
little,own,1,vacation/others,good,little,female,73.125,Mature-Seniors
little,own,1,radio/TV,good,little,male,231.5,Mature-Seniors
No checking,own,3,business,good,little,female,117.66666666666667,Young
moderate,own,2,furniture/equipment,good,little,female,71.94444444444444,Young
moderate,free,2,education,bad,moderate,male,350.3333333333333,Mature-Seniors
little,own,3,car,good,moderate,male,124.94444444444444,Adults
little,own,2,repairs,bad,little,male,92.33333333333333,Young
No checking,own,2,radio/TV,good,little,male,51.5,Mature-Seniors
little,own,2,car,good,little,male,117.41666666666667,Mature-Seniors
No checking,own,1,radio/TV,bad,No savings,female,66.41666666666667,Adults
rich,rent,2,furniture/equipment,good,No savings,male,150.70833333333334,Young
moderate,own,2,car,good,rich,male,109.83333333333333,Mature-Seniors
moderate,rent,2,business,bad,little,male,295.27777777777777,Mature-Seniors
No checking,own,2,education,good,No savings,female,167.66666666666666,Mature-Seniors
moderate,own,2,business,good,moderate,male,145.66666666666666,Adults
moderate,own,2,radio/TV,good,little,male,64.91666666666667,Adults
moderate,rent,3,car,good,No savings,male,352.85,Adults
No checking,rent,1,car,good,moderate,male,61.208333333333336,Mature-Seniors
moderate,rent,2,radio/TV,good,little,male,64.52777777777777,Young
No checking,own,2,radio/TV,good,little,female,155.33333333333334,Young
moderate,rent,2,furniture/equipment,good,little,male,213.22222222222223,Adults
No checking,rent,2,car,good,No savings,male,203.75,Young
moderate,own,3,vacation/others,bad,little,male,497.4166666666667,Adults
No checking,own,3,car,bad,little,male,358.77777777777777,Adults
moderate,own,2,car,good,little,male,506.5,Adults
little,own,2,furniture/equipment,good,No savings,female,321.7083333333333,Adults
moderate,own,2,business,good,quite rich,male,100.71428571428571,Adults
moderate,own,2,business,good,moderate,male,241.5,Adults
rich,rent,2,education,good,little,female,26.133333333333333,Young
moderate,rent,1,car,good,little,male,347.77777777777777,Young
No checking,own,2,car,bad,little,female,218.19444444444446,Young
little,own,2,radio/TV,good,quite rich,male,140.0,Adults
No checking,own,2,radio/TV,good,No savings,male,74.54166666666667,Mature-Seniors
little,own,3,radio/TV,bad,No savings,female,170.8095238095238,Adults
little,rent,2,furniture/equipment,good,No savings,female,213.2,Young
little,own,2,furniture/equipment,bad,quite rich,female,129.72727272727272,Young
moderate,own,3,car,good,quite rich,male,197.16666666666666,Adults
little,own,2,radio/TV,bad,little,female,87.38095238095238,Young
No checking,rent,3,car,good,little,female,161.16666666666666,Mature-Seniors
No checking,rent,1,furniture/equipment,good,little,male,147.33333333333334,Young
rich,free,2,car,good,little,male,78.1,Mature-Seniors
moderate,rent,2,furniture/equipment,bad,No savings,female,106.88888888888889,Young
little,own,2,car,good,little,male,176.75,Adults
little,own,1,radio/TV,good,little,male,58.416666666666664,Mature-Seniors
moderate,own,2,repairs,bad,little,male,53.25,Adults
moderate,own,3,car,good,little,male,155.0,Adults
little,own,2,car,bad,little,female,291.5833333333333,Young
moderate,own,2,car,good,No savings,female,176.8125,Young
little,own,2,education,bad,little,male,191.30555555555554,Young
No checking,own,1,furniture/equipment,good,little,male,180.53333333333333,Young
No checking,free,2,furniture/equipment,good,little,male,110.22222222222223,Mature-Seniors
No checking,own,2,radio/TV,good,moderate,female,169.06666666666666,Young
No checking,own,2,radio/TV,good,No savings,female,103.33333333333333,Adults
No checking,own,2,car,good,rich,male,319.0,Young
moderate,own,1,radio/TV,bad,quite rich,male,63.833333333333336,Mature-Seniors
moderate,own,2,radio/TV,good,No savings,male,181.86666666666667,Adults
rich,rent,1,radio/TV,good,little,female,156.75,Mature-Seniors
rich,own,0,car,good,rich,male,118.16666666666667,Young
moderate,own,3,radio/TV,good,little,female,133.19444444444446,Adults
little,own,3,radio/TV,good,little,male,126.51851851851852,Young
little,own,2,furniture/equipment,bad,little,male,136.77777777777777,Young
No checking,own,2,furniture/equipment,good,little,female,108.95238095238095,Young
moderate,own,2,business,good,moderate,male,74.29166666666667,Adults
little,own,2,car,good,little,female,143.33333333333334,Adults
No checking,own,2,car,good,moderate,female,56.833333333333336,Mature-Seniors
little,own,2,furniture/equipment,good,little,male,149.19444444444446,Young
No checking,own,2,radio/TV,good,rich,male,87.88888888888889,Mature-Seniors
No checking,free,2,radio/TV,good,moderate,male,224.33333333333334,Mature-Seniors
No checking,own,2,radio/TV,good,little,male,192.4,Adults
rich,own,2,radio/TV,good,little,male,162.44444444444446,Young
moderate,rent,2,car,good,rich,female,323.25,Young
moderate,rent,3,business,good,moderate,male,290.2916666666667,Adults
little,rent,2,furniture/equipment,bad,little,female,106.83333333333333,Young
little,own,2,repairs,good,moderate,male,143.11111111111111,Mature-Seniors
little,own,1,education,good,little,male,28.25,Mature-Seniors
moderate,own,2,car,good,moderate,male,146.33333333333334,Adults
No checking,own,1,radio/TV,good,No savings,male,316.3333333333333,Adults
No checking,own,2,radio/TV,good,moderate,male,119.66666666666667,Adults
No checking,own,2,car,good,little,female,58.611111111111114,Adults
No checking,own,2,domestic appliances,good,quite rich,male,84.13333333333334,Adults
moderate,free,3,car,good,little,male,730.8,Mature-Seniors
No checking,own,2,car,good,quite rich,male,25.25,Adults
No checking,own,2,furniture/equipment,good,quite rich,male,496.3333333333333,Adults
little,own,2,furniture/equipment,bad,little,female,62.833333333333336,Adults
moderate,own,2,furniture/equipment,good,rich,female,143.36363636363637,Young
No checking,rent,2,furniture/equipment,good,little,female,165.5,Young
moderate,own,2,business,bad,little,male,80.625,Adults
little,rent,2,car,bad,little,male,63.333333333333336,Adults
No checking,own,2,furniture/equipment,good,little,female,63.583333333333336,Young
moderate,own,3,furniture/equipment,bad,little,female,86.0,Adults
moderate,own,2,radio/TV,good,little,male,176.75,Adults
little,own,2,education,bad,little,male,162.57142857142858,Young
No checking,own,3,car,bad,No savings,female,249.5,Mature-Seniors
little,own,2,furniture/equipment,good,little,male,214.75,Mature-Seniors
little,own,2,radio/TV,good,quite rich,male,56.333333333333336,Mature-Seniors
No checking,rent,3,radio/TV,good,little,male,163.58333333333334,Adults
little,own,2,car,good,little,male,27.19047619047619,Mature-Seniors
No checking,own,2,business,bad,little,male,265.8888888888889,Young
moderate,own,3,business,bad,little,male,123.75,Adults
little,own,1,car,bad,No savings,male,78.42857142857143,Mature-Seniors
No checking,own,2,furniture/equipment,good,rich,male,157.375,Mature-Seniors
moderate,own,2,car,bad,little,male,49.111111111111114,Adults
No checking,own,2,radio/TV,good,little,male,90.66666666666667,Adults
moderate,free,3,car,bad,little,female,569.8888888888889,Mature-Seniors
moderate,free,0,car,good,little,male,73.4375,Mature-Seniors
little,own,2,radio/TV,bad,moderate,male,56.166666666666664,Young
moderate,own,2,furniture/equipment,good,little,female,180.22222222222223,Adults
No checking,own,3,business,bad,rich,male,191.29166666666666,Mature-Seniors
moderate,free,1,business,bad,moderate,male,80.08333333333333,Adults
moderate,own,2,business,bad,little,male,145.0,Adults
No checking,rent,2,radio/TV,good,little,male,351.3333333333333,Young
moderate,rent,2,radio/TV,bad,moderate,male,67.35555555555555,Young
moderate,own,3,education,bad,little,female,166.77777777777777,Adults
No checking,own,2,radio/TV,good,little,female,230.33333333333334,Young
moderate,rent,2,furniture/equipment,bad,moderate,female,79.25,Young
moderate,free,2,car,good,No savings,male,115.0,Adults
moderate,own,3,furniture/equipment,bad,little,male,238.72222222222223,Mature-Seniors
No checking,own,2,education,good,quite rich,male,104.0,Mature-Seniors
little,own,1,car,good,little,male,97.33333333333333,Young
No checking,own,2,business,good,little,male,189.5185185185185,Young
little,rent,2,education,bad,little,male,75.16666666666667,Young
No checking,own,1,car,good,little,male,124.58333333333333,Adults
little,free,3,car,good,little,male,354.1,Adults
No checking,own,2,furniture/equipment,good,little,male,161.25,Mature-Seniors
moderate,own,2,domestic appliances,good,little,male,118.66666666666667,Young
little,own,1,business,good,little,male,273.6666666666667,Young
No checking,own,2,car,good,rich,male,117.75,Mature-Seniors
No checking,own,2,radio/TV,good,No savings,male,341.55555555555554,Adults
No checking,own,1,radio/TV,good,No savings,female,106.52777777777777,Mature-Seniors
little,own,2,business,bad,little,male,196.03703703703704,Mature-Seniors
rich,own,3,business,bad,little,male,63.6,Mature-Seniors
No checking,own,2,radio/TV,good,No savings,male,92.83333333333333,Mature-Seniors
moderate,own,1,education,good,No savings,female,155.33333333333334,Adults
little,own,2,business,good,little,male,172.44444444444446,Adults
rich,own,2,radio/TV,good,little,male,108.69444444444444,Young
little,rent,1,furniture/equipment,good,little,male,125.875,Young
No checking,own,2,car,good,little,female,136.4,Mature-Seniors
moderate,own,1,radio/TV,good,little,male,52.083333333333336,Young
little,rent,2,education,good,No savings,female,100.0,Young
No checking,own,2,radio/TV,good,little,male,58.916666666666664,Adults
No checking,own,2,business,good,No savings,male,124.08333333333333,Adults
No checking,own,2,car,good,little,male,310.46666666666664,Adults
No checking,own,2,repairs,good,little,male,72.58333333333333,Young
moderate,own,2,radio/TV,bad,rich,male,228.35416666666666,Young
little,free,3,furniture/equipment,bad,little,male,655.4166666666666,Mature-Seniors
No checking,own,2,radio/TV,bad,little,male,164.22222222222223,Young
little,free,2,furniture/equipment,good,little,male,131.20833333333334,Young
rich,own,2,radio/TV,bad,little,male,116.94444444444444,Young
No checking,free,1,car,good,quite rich,male,278.55555555555554,Mature-Seniors
No checking,own,2,radio/TV,good,moderate,male,178.41666666666666,Adults
moderate,own,1,radio/TV,good,little,male,48.111111111111114,Young
No checking,own,1,radio/TV,good,little,male,386.0,Mature-Seniors
little,own,3,radio/TV,bad,little,male,75.95833333333333,Adults
moderate,own,0,car,bad,No savings,male,2425.8333333333335,Young
moderate,rent,1,business,bad,moderate,male,131.76190476190476,Mature-Seniors
No checking,own,2,radio/TV,good,little,female,107.58333333333333,Adults
little,own,2,radio/TV,good,little,male,84.06666666666666,Adults
little,own,2,car,bad,No savings,female,38.125,Young
No checking,own,2,radio/TV,good,little,male,265.8333333333333,Mature-Seniors
little,free,2,car,bad,little,male,95.9375,Young
No checking,own,2,business,good,little,female,98.75,Young
No checking,own,1,education,good,quite rich,female,287.25,Adults
No checking,own,2,business,good,little,male,52.416666666666664,Young
No checking,own,2,radio/TV,good,little,male,59.75,Mature-Seniors
No checking,rent,2,car,good,moderate,male,200.66666666666666,Adults
rich,own,2,furniture/equipment,good,little,male,80.20833333333333,Young
No checking,rent,2,radio/TV,bad,little,female,24.055555555555557,Young
little,own,1,car,good,rich,female,111.0,Adults
rich,own,1,furniture/equipment,good,little,female,187.58333333333334,Mature-Seniors
moderate,own,2,car,bad,little,female,71.66666666666667,Young
No checking,own,2,furniture/equipment,good,moderate,male,172.95833333333334,Adults
moderate,own,2,furniture/equipment,good,No savings,male,225.55555555555554,Young
moderate,own,1,radio/TV,good,No savings,male,123.63333333333334,Young
No checking,own,1,radio/TV,good,little,male,111.83333333333333,Adults
little,free,2,radio/TV,bad,little,male,179.08333333333334,Young
No checking,own,2,car,good,moderate,female,254.13333333333333,Young
No checking,own,1,radio/TV,good,moderate,female,104.9090909090909,Mature-Seniors
little,own,2,furniture/equipment,good,little,male,138.08333333333334,Young
little,own,2,radio/TV,good,little,female,66.79166666666667,Mature-Seniors
little,free,3,car,good,little,male,294.55555555555554,Adults
No checking,free,1,education,good,little,female,229.0,Mature-Seniors
No checking,own,1,car,good,little,male,123.1,Adults
moderate,own,2,radio/TV,bad,little,male,53.46666666666667,Adults
No checking,own,2,business,good,No savings,male,175.11111111111111,Adults
No checking,own,2,radio/TV,good,little,female,63.875,Adults
little,own,3,car,bad,little,male,641.2857142857143,Mature-Seniors
No checking,own,2,radio/TV,good,No savings,male,41.625,Young
No checking,own,2,car,good,No savings,male,147.88888888888889,Adults
No checking,rent,2,furniture/equipment,good,quite rich,female,116.83333333333333,Adults
moderate,free,3,car,good,No savings,male,253.52083333333334,Adults
moderate,own,2,radio/TV,bad,little,male,63.75,Young
little,own,1,repairs,bad,little,male,399.93333333333334,Adults
No checking,own,2,radio/TV,good,little,male,299.6666666666667,Adults
No checking,own,2,radio/TV,good,little,female,133.55555555555554,Young
little,own,1,furniture/equipment,good,No savings,male,105.16666666666667,Mature-Seniors
No checking,own,2,furniture/equipment,bad,little,female,768.5,Adults
No checking,rent,3,radio/TV,good,moderate,male,79.20833333333333,Young
No checking,rent,2,car,good,rich,male,224.53333333333333,Young
No checking,own,2,furniture/equipment,good,little,male,131.16666666666666,Mature-Seniors
rich,own,1,radio/TV,good,No savings,male,80.27777777777777,Mature-Seniors
No checking,own,2,furniture/equipment,good,No savings,male,101.33333333333333,Mature-Seniors
moderate,own,2,car,good,moderate,male,161.58333333333334,Adults
little,own,1,car,good,little,female,228.12765957446808,Adults
little,own,2,car,good,little,male,99.75,Young
moderate,free,3,vacation/others,good,moderate,male,157.95833333333334,Adults
moderate,own,2,radio/TV,good,little,female,91.0,Mature-Seniors
little,own,2,radio/TV,bad,little,male,42.666666666666664,Mature-Seniors
No checking,own,2,business,good,little,male,89.66666666666667,Young
moderate,rent,3,car,bad,little,male,261.05555555555554,Young
little,free,3,car,good,little,female,267.4583333333333,Mature-Seniors
rich,free,2,car,good,little,male,114.19047619047619,Mature-Seniors
No checking,own,3,business,good,No savings,male,158.9375,Mature-Seniors
moderate,own,2,furniture/equipment,bad,little,female,207.5,Young
No checking,rent,2,car,good,No savings,female,389.5833333333333,Young
No checking,own,1,car,good,No savings,male,128.7,Mature-Seniors
No checking,own,2,furniture/equipment,good,little,male,139.72222222222223,Mature-Seniors
moderate,own,2,furniture/equipment,good,rich,male,130.71428571428572,Adults
No checking,own,0,car,good,little,female,112.0,Mature-Seniors
moderate,own,2,radio/TV,bad,little,female,105.66666666666667,Mature-Seniors
rich,own,1,car,bad,No savings,male,56.0,Adults
little,own,2,car,good,little,male,103.8,Mature-Seniors
No checking,free,2,car,bad,quite rich,male,210.97916666666666,Mature-Seniors
No checking,own,2,furniture/equipment,good,rich,male,257.1666666666667,Adults
No checking,rent,1,car,good,No savings,female,160.36666666666667,Young
little,own,1,radio/TV,bad,moderate,male,60.583333333333336,Adults
moderate,own,2,furniture/equipment,bad,little,female,154.625,Young
moderate,rent,1,car,good,little,male,30.666666666666668,Young
moderate,free,0,vacation/others,good,No savings,male,112.10416666666667,Mature-Seniors
No checking,own,2,furniture/equipment,good,moderate,male,229.625,Young
rich,own,2,furniture/equipment,good,little,female,156.20833333333334,Young
moderate,own,1,car,bad,little,male,57.083333333333336,Young
rich,own,1,car,good,No savings,male,373.5,Young
little,own,2,furniture/equipment,bad,little,male,76.27777777777777,Adults
little,own,1,furniture/equipment,good,little,male,59.0,Adults
moderate,own,1,furniture/equipment,good,No savings,female,181.29166666666666,Mature-Seniors
No checking,own,2,education,good,little,male,58.416666666666664,Adults
little,own,1,furniture/equipment,good,little,female,242.86666666666667,Young
moderate,own,3,car,bad,little,male,141.63333333333333,Young
little,own,2,radio/TV,bad,little,male,80.75,Adults
little,free,3,car,good,little,male,121.25,Adults
little,own,2,furniture/equipment,good,rich,male,147.72222222222223,Young
No checking,own,2,car,good,little,female,57.111111111111114,Adults
little,own,1,car,good,little,male,424.75,Adults
No checking,rent,2,furniture/equipment,good,No savings,male,483.4166666666667,Mature-Seniors
No checking,own,2,car,good,rich,female,63.541666666666664,Adults
rich,own,2,radio/TV,good,little,male,124.25,Adults
moderate,own,2,radio/TV,good,little,male,178.0,Young
little,free,3,car,good,little,male,275.625,Mature-Seniors
No checking,own,2,education,bad,moderate,female,103.55555555555556,Adults
moderate,own,3,car,bad,moderate,female,123.46666666666667,Young
No checking,rent,1,car,bad,moderate,female,241.45833333333334,Young
little,rent,2,furniture/equipment,bad,little,male,171.25,Young
little,rent,3,furniture/equipment,bad,little,male,564.0,Mature-Seniors
moderate,own,1,radio/TV,good,little,female,161.6153846153846,Young
little,rent,2,domestic appliances,bad,No savings,female,85.0,Young
little,own,2,furniture/equipment,good,little,male,173.70833333333334,Young
moderate,own,1,furniture/equipment,good,little,male,152.1,Adults
moderate,free,2,education,good,little,female,239.29166666666666,Young
little,rent,1,furniture/equipment,good,little,female,171.38095238095238,Young
moderate,rent,2,radio/TV,good,quite rich,male,178.5,Young
moderate,own,3,business,good,little,male,246.61111111111111,Adults
rich,own,1,car,good,little,male,394.9,Adults
No checking,own,1,radio/TV,good,little,female,97.26666666666667,Mature-Seniors
moderate,own,2,radio/TV,good,little,male,67.84615384615384,Young
moderate,rent,0,radio/TV,good,quite rich,female,156.58333333333334,Young
No checking,own,1,business,good,moderate,male,290.5,Adults
moderate,free,2,education,bad,rich,male,126.22222222222223,Adults
No checking,rent,2,domestic appliances,good,little,female,137.33333333333334,Young
moderate,own,2,furniture/equipment,bad,little,female,106.55555555555556,Young
No checking,own,3,car,good,No savings,male,179.38888888888889,Adults
little,rent,2,radio/TV,bad,little,male,516.5833333333334,Young
No checking,free,2,education,good,quite rich,male,72.7,Mature-Seniors
moderate,own,1,car,bad,little,male,51.916666666666664,Young
No checking,own,2,radio/TV,good,No savings,male,194.25,Mature-Seniors
No checking,own,3,radio/TV,bad,little,male,123.97222222222223,Young
No checking,own,2,radio/TV,good,little,male,64.66666666666667,Young
little,rent,2,furniture/equipment,bad,little,female,80.2,Young
moderate,free,2,education,good,No savings,male,68.83333333333333,Mature-Seniors
rich,own,3,radio/TV,good,No savings,male,283.25,Adults
rich,own,2,car,good,little,female,187.25,Adults
No checking,rent,2,furniture/equipment,good,little,male,294.3333333333333,Young
little,own,0,furniture/equipment,bad,little,male,137.38888888888889,Young
No checking,own,2,business,good,little,male,128.5,Adults
No checking,own,2,car,good,little,male,213.88888888888889,Young
little,rent,2,furniture/equipment,good,little,female,202.77777777777777,Young
little,own,2,furniture/equipment,bad,little,male,95.72222222222223,Mature-Seniors
moderate,rent,2,furniture/equipment,good,little,female,166.72222222222223,Mature-Seniors
No checking,own,2,car,good,No savings,male,85.52777777777777,Adults
No checking,own,2,radio/TV,good,little,male,337.22222222222223,Adults
No checking,rent,2,furniture/equipment,good,little,female,214.6,Young
No checking,free,3,car,good,No savings,male,229.26666666666668,Mature-Seniors
moderate,free,3,vacation/others,bad,moderate,female,246.36666666666667,Mature-Seniors
little,rent,2,business,bad,little,female,160.10416666666666,Adults
No checking,own,2,radio/TV,good,little,male,128.88888888888889,Adults
No checking,free,2,radio/TV,good,No savings,male,120.85714285714286,Adults
moderate,free,3,car,bad,little,male,397.72222222222223,Mature-Seniors
No checking,own,1,car,good,moderate,female,60.333333333333336,Mature-Seniors
little,own,2,furniture/equipment,good,No savings,male,110.6,Adults
moderate,free,3,car,bad,little,female,720.8888888888889,Adults
No checking,rent,2,car,good,No savings,female,58.31818181818182,Young
rich,own,2,car,good,little,male,110.83333333333333,Young
No checking,own,1,business,good,moderate,male,142.4,Young
No checking,own,2,radio/TV,good,little,female,124.33333333333333,Young
No checking,rent,2,radio/TV,good,No savings,female,62.55555555555556,Young
moderate,own,3,furniture/equipment,good,little,male,409.6666666666667,Mature-Seniors
moderate,own,2,business,good,quite rich,male,155.06666666666666,Young
No checking,own,2,business,good,little,female,161.0,Young
No checking,own,3,car,good,little,male,101.11111111111111,Adults
moderate,rent,1,furniture/equipment,good,rich,female,81.91666666666667,
little,free,3,car,good,little,male,90.25,Adults
little,own,2,radio/TV,good,little,female,326.1666666666667,Adults
No checking,own,3,furniture/equipment,good,little,male,267.3333333333333,Adults
moderate,rent,2,education,good,moderate,male,301.53846153846155,Adults
little,free,3,furniture/equipment,good,little,female,214.83333333333334,Mature-Seniors
little,own,2,furniture/equipment,good,little,male,65.22222222222223,Mature-Seniors
moderate,rent,2,car,bad,little,male,101.91666666666667,Mature-Seniors
No checking,own,1,radio/TV,good,rich,female,63.166666666666664,Mature-Seniors
No checking,own,2,radio/TV,good,little,male,81.83333333333333,Adults
moderate,own,2,business,good,No savings,male,104.83333333333333,Young
No checking,own,2,business,bad,little,male,360.3333333333333,Young
No checking,own,1,car,good,little,male,57.285714285714285,Young
moderate,own,2,car,good,No savings,male,161.05555555555554,Mature-Seniors
moderate,own,2,radio/TV,bad,little,male,84.95833333333333,Young
No checking,own,2,car,good,No savings,male,91.54166666666667,Mature-Seniors
little,own,2,radio/TV,good,little,male,70.2,Young
No checking,own,3,radio/TV,good,quite rich,male,134.79166666666666,Young
rich,own,2,car,bad,quite rich,male,78.25,Young
moderate,own,2,radio/TV,good,little,female,81.95833333333333,Young
No checking,own,3,car,good,little,male,219.78787878787878,Adults
No checking,own,3,business,bad,little,male,191.0,Mature-Seniors
No checking,rent,1,car,good,quite rich,male,159.7,Mature-Seniors
little,own,2,car,bad,No savings,female,57.541666666666664,Adults
No checking,own,2,car,good,little,male,162.27777777777777,Adults
little,own,1,car,bad,little,male,214.91666666666666,Adults
little,rent,2,education,good,No savings,female,470.6111111111111,Young
No checking,own,3,car,good,quite rich,female,132.47619047619048,Adults
moderate,own,2,car,bad,No savings,female,57.888888888888886,Adults
No checking,rent,2,car,good,rich,female,212.4,Young
moderate,own,2,car,good,No savings,male,169.0,Adults
moderate,own,1,car,good,little,male,79.83333333333333,Mature-Seniors
No checking,own,3,furniture/equipment,good,moderate,male,75.76190476190476,Adults
moderate,own,2,furniture/equipment,bad,No savings,female,230.16666666666666,Young
moderate,rent,2,car,good,little,male,154.38888888888889,Young
No checking,own,2,radio/TV,good,little,male,97.96428571428571,Young
No checking,own,2,radio/TV,good,rich,male,63.833333333333336,Mature-Seniors
No checking,own,2,furniture/equipment,good,little,male,145.88888888888889,Young
little,free,0,repairs,bad,little,female,66.11111111111111,Mature-Seniors
No checking,own,1,business,good,little,male,689.6,Mature-Seniors
moderate,own,3,vacation/others,bad,little,male,472.0,Young
little,free,3,furniture/equipment,good,little,male,312.0,Adults
No checking,own,2,repairs,good,little,male,85.75,Adults
little,own,2,furniture/equipment,good,little,male,237.33333333333334,Young
moderate,own,2,radio/TV,bad,No savings,male,123.66666666666667,Young
No checking,rent,1,repairs,good,quite rich,male,110.0,Young
No checking,own,2,car,good,rich,female,53.625,Adults
little,own,0,repairs,good,little,male,80.80952380952381,Mature-Seniors
rich,own,0,business,bad,little,female,50.75,Young
No checking,own,3,car,good,little,male,157.0,Adults
little,own,2,furniture/equipment,good,little,female,135.0,Adults
moderate,own,2,vacation/others,good,little,male,131.45,Young
No checking,own,1,education,bad,little,male,59.916666666666664,Mature-Seniors
moderate,own,3,furniture/equipment,bad,little,female,106.16666666666667,Adults
No checking,rent,1,education,good,No savings,female,138.22222222222223,Mature-Seniors
little,own,2,car,bad,little,female,51.166666666666664,Adults
